"","V1","V2"
"4 1 000 0 6",0.971870604781997,711
"4 1 000 0 7",0.987146529562982,389
"4 1 000 0 8",0.986425339366516,221
"4 1 000 0 9",1,109
"4 1 000 0 10",1,48
"5 1 000 0 -10",0.00591715976331361,169
"5 1 000 0 -9",0.00389105058365759,257
"5 1 000 0 -8",0.0276243093922652,543
"5 1 000 0 -7",0.0337078651685393,801
"5 1 000 0 -6",0.0472618154538635,1333
"5 1 000 0 -5",0.0801508722300801,2121
"5 1 000 0 -4",0.119900342572407,3211
"5 1 000 0 -3",0.206798245614035,4560
"5 1 000 0 -2",0.294027565084227,6530
"5 1 000 0 -1",0.430646672914714,8536
"5 1 000 0 0",0.594667197293802,10051
"5 1 000 0 1",0.747307168503157,8077
"5 1 000 0 2",0.83929479572809,5899
"5 1 000 0 3",0.905978665343587,4031
"5 1 000 0 4",0.945297127115309,2541
"5 1 000 0 5",0.970052847915443,1703
"5 1 000 0 6",0.982758620689655,1044
"5 1 000 0 7",0.995222929936306,628
"5 1 000 0 8",0.994736842105263,380
"5 1 000 0 9",0.995475113122172,221
"5 1 000 0 10",1,138
"6 1 000 0 -10",0,233
"6 1 000 0 -9",0,373
"6 1 000 0 -8",0.00911854103343465,658
"6 1 000 0 -7",0.0204918032786885,976
"6 1 000 0 -6",0.0383365821962313,1539
"6 1 000 0 -5",0.0556701030927835,2425
"6 1 000 0 -4",0.100058173356603,3438
"6 1 000 0 -3",0.155761924862811,4738
"6 1 000 0 -2",0.270198050927381,6362
"6 1 000 0 -1",0.418044164037855,7925
"6 1 000 0 0",0.603202637466149,8493
"6 1 000 0 1",0.775765645805593,7510
"6 1 000 0 2",0.87625475943233,5778
"6 1 000 0 3",0.935460652591171,4168
"6 1 000 0 4",0.965284799460735,2967
"6 1 000 0 5",0.977195536147501,2061
"6 1 000 0 6",0.993273542600897,1338
"6 1 000 0 7",0.998769987699877,813
"6 1 000 0 8",0.998031496062992,508
"6 1 000 0 9",1,328
"6 1 000 0 10",0.994623655913978,186
"7 1 000 0 -10",0,298
"7 1 000 0 -9",0.00213219616204691,469
"7 1 000 0 -8",0.00263504611330698,759
"7 1 000 0 -7",0.0119760479041916,1169
"7 1 000 0 -6",0.0194954128440367,1744
"7 1 000 0 -5",0.035935085007728,2588
"7 1 000 0 -4",0.0575931232091691,3490
"7 1 000 0 -3",0.120775026910657,4645
"7 1 000 0 -2",0.214983164983165,5940
"7 1 000 0 -1",0.370813397129187,7106
"7 1 000 0 0",0.613612004287245,7464
"7 1 000 0 1",0.824190064794816,6945
"7 1 000 0 2",0.914129860988914,5683
"7 1 000 0 3",0.956602893140457,4286
"7 1 000 0 4",0.982289690069576,3162
"7 1 000 0 5",0.993548387096774,2325
"7 1 000 0 6",0.996075866579464,1529
"7 1 000 0 7",0.998058252427184,1030
"7 1 000 0 8",1,662
"7 1 000 0 9",1,440
"7 1 000 0 10",0.996336996336996,273
"8 1 000 0 -10",0,378
"8 1 000 0 -9",0.00180831826401447,553
"8 1 000 0 -8",0.00347222222222222,864
"8 1 000 0 -7",0.00520446096654275,1345
"8 1 000 0 -6",0.0100263852242744,1895
"8 1 000 0 -5",0.0187899285982713,2661
"8 1 000 0 -4",0.0389041095890411,3650
"8 1 000 0 -3",0.0760389036251105,4524
"8 1 000 0 -2",0.153832473768451,5623
"8 1 000 0 -1",0.297242243810718,6382
"8 1 000 0 0",0.635613561356136,6666
"8 1 000 0 1",0.887149788699327,6389
"8 1 000 0 2",0.957111436950147,5456
"8 1 000 0 3",0.987018902300159,4391
"8 1 000 0 4",0.993057564362164,3457
"8 1 000 0 5",0.997654417513683,2558
"8 1 000 0 6",0.999446596568899,1807
"8 1 000 0 7",1,1219
"8 1 000 0 8",0.998774509803922,816
"8 1 000 0 9",1,544
"8 1 000 0 10",1,371
"9 1 000 0 -10",0,469
"9 1 000 0 -9",0,717
"9 1 000 0 -8",0,1004
"9 1 000 0 -7",0.00199866755496336,1501
"9 1 000 0 -6",0.0045135406218656,1994
"9 1 000 0 -5",0.0070871722182849,2822
