YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI\
2015,D,syndn001,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,tejar001,6,6,5,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0\
2015,D,tuckp001,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,tuckp001,11,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0\
2015,D,tulot001,6,23,21,2,5,0,0,1,0,4,2,0,7,0,0,0,0,0\
2015,D,turnj001,5,20,19,10,16,6,0,0,0,4,1,1,3,0,0,0,0,0\
2015,D,utlec001,11,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,valbl001,5,17,13,2,5,0,0,1,0,2,4,0,6,0,0,0,0,0\
2015,D,venaw001,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,venaw001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,wachm001,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,wongk001,4,14,14,2,6,1,0,1,0,1,0,0,5,0,0,0,0,0\
2015,D,woodt004,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,wrigd002,5,21,16,1,1,0,0,0,0,2,5,1,7,2,0,0,0,0\
2015,D,zobrb001,4,22,18,6,7,1,0,0,0,2,2,0,2,1,0,1,1,0\
2015,F,altuj001,4,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0\
2015,F,alvap001,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,F,alvap001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,arrij001,1,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0\
2015,F,beltc001,9,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,F,birdg001,3,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,bryak001,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
